"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_00035",14175.5994432833,4.30818415913793,0.0705655514655035,61.0522283134714,0,0
"PHJJKLOP_00046",8448.95911739505,-2.35797368448399,0.0560269420374477,-42.0864248294679,0,0
"PHJJKLOP_00047",4438.58512899922,-3.08030118704504,0.0648797561990232,-47.4770770962208,0,0
"PHJJKLOP_00048",7788.14774811685,-2.4905726609334,0.0553881812985443,-44.9657779429355,0,0
"PHJJKLOP_00049",4434.23285143394,-2.56673543900884,0.0613510753879099,-41.8368451209684,0,0
"PHJJKLOP_00050",6684.77450952227,-2.40807944891524,0.0581932733306519,-41.3807182701793,0,0
"PHJJKLOP_00053",9855.18417650011,-2.96354165029361,0.0572080762805972,-51.8028544738661,0,0
"PHJJKLOP_00054",6686.72303833308,-3.69134618125933,0.0644626849622064,-57.2633017601348,0,0
"PHJJKLOP_00055",14033.2933767791,-4.8639910679037,0.0741230869705116,-65.6204600577246,0,0
"PHJJKLOP_00056",13841.7519679561,-4.85976040910604,0.0713823471055548,-68.0807035095076,0,0
"PHJJKLOP_00057",27142.9297982999,-5.2092020059021,0.0617961387039676,-84.2965614867396,0,0
"PHJJKLOP_00058",8023.29603253841,-5.34946030030733,0.0951124031478042,-56.2435615467974,0,0
"PHJJKLOP_00059",10112.657646475,-5.22584998248598,0.0889485131719406,-58.7514034369999,0,0
"PHJJKLOP_00060",19407.88011836,-5.24294661567113,0.0760878000725055,-68.9065344335758,0,0
"PHJJKLOP_00061",17933.9204879944,-5.4878081452411,0.0693212044736784,-79.1649277722064,0,0
"PHJJKLOP_00062",16617.8886524205,-5.63715805815177,0.0749125300035909,-75.2498688521341,0,0
"PHJJKLOP_00063",11775.9997263383,-5.6994133405905,0.0859228668127772,-66.331740920718,0,0
"PHJJKLOP_00064",18297.231373406,-4.47184086817478,0.0699320949465526,-63.9454726988017,0,0
"PHJJKLOP_00065",10011.5567266807,-4.46459735420212,0.0689425308884498,-64.7582456963454,0,0
"PHJJKLOP_00074",22400.7723581867,4.36222223682918,0.0753582458348727,57.886462038777,0,0
"PHJJKLOP_00101",11341.7526803191,-2.25661783854533,0.0545520531667935,-41.3663227604961,0,0
"PHJJKLOP_00119",11790.3581791828,-2.01005934632363,0.0528343402627815,-38.0445622359668,0,0
"PHJJKLOP_00156",945.763198031287,4.54838157388025,0.117800236045513,38.6109716462957,0,0
"PHJJKLOP_00192",2794.04433664609,4.5963841869869,0.0838717136265068,54.8025548572344,0,0
"PHJJKLOP_00193",1367.53851979026,4.51977601209572,0.101593450692958,44.4888521973296,0,0
"PHJJKLOP_00203",3233.69703084707,5.20058440927291,0.0861202731542363,60.3874583625503,0,0
"PHJJKLOP_00205",1331.47173710045,5.45880371314495,0.126344138735911,43.2058326390204,0,0
"PHJJKLOP_00206",1810.49797617146,3.89686119736802,0.0887567195551173,43.9049709914988,0,0
"PHJJKLOP_00246",49874.6104839903,-3.08956396819082,0.0498079753714493,-62.0295032100783,0,0
"PHJJKLOP_00247",109004.566685467,-2.87420740433519,0.0740913528128943,-38.7927510460436,0,0
"PHJJKLOP_00248",25640.9926466815,-2.54808209499633,0.0576991960217017,-44.1614835332878,0,0
"PHJJKLOP_00249",30211.741313093,-2.6182545047741,0.0563539872509478,-46.4608563208643,0,0
"PHJJKLOP_00307",4766.44304710079,-2.42261863884669,0.0615829844607547,-39.3390911476621,0,0
"PHJJKLOP_00308",4066.82428218022,-3.48624039166517,0.0706295149063041,-49.3595403605696,0,0
"PHJJKLOP_00316",2522.73935653465,2.86793553187252,0.0736674852440578,38.9308189681126,0,0
"PHJJKLOP_00378",21532.4353680862,-4.37826254716877,0.0625177914973068,-70.0322650930077,0,0
"PHJJKLOP_00379",15992.2402884971,-4.15594193961457,0.0668224889088984,-62.193761523617,0,0
"PHJJKLOP_00382",24426.1807543228,2.44929988600003,0.051629607239734,47.4398318512688,0,0
"PHJJKLOP_00437",162915.169266477,2.00624129441801,0.0495534411174981,40.4864172734429,0,0
"PHJJKLOP_00582",18476.3193279855,-3.00183071474677,0.0640645287862875,-46.8563614158556,0,0
"PHJJKLOP_00583",29206.8300185511,-4.01193553011858,0.0604107773697515,-66.4109237589023,0,0
"PHJJKLOP_00696",34706.8093406082,-2.30896902402069,0.0518975458537349,-44.4909096574269,0,0
"PHJJKLOP_00700",6276.19770247898,-2.58408273852194,0.0674047690141691,-38.3367939140736,0,0
"PHJJKLOP_00705",15524.6822678035,-2.61035514923919,0.0567248180000619,-46.0178673334191,0,0
"PHJJKLOP_00706",15793.1846549537,-2.44492691533653,0.0614548095629381,-39.7841427338992,0,0
"PHJJKLOP_00710",32058.4554972924,-2.56190528456814,0.0605078450945107,-42.3400516175474,0,0
"PHJJKLOP_00711",17785.7589149996,-2.58965006864611,0.0543600814574258,-47.6388187658308,0,0
"PHJJKLOP_00712",37095.1934310837,-2.53523007418325,0.0632168675544227,-40.1036965648558,0,0
"PHJJKLOP_00713",20710.0228589712,-2.60759946722832,0.0568848605587485,-45.839955334606,0,0
"PHJJKLOP_00714",12612.8883877801,-2.75543804675455,0.068377521058652,-40.2974252955299,0,0
