"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_00001",0,0,0,0,0,0
"PHJJKLOP_00002",0,0,0,0,0,0
"PHJJKLOP_00003",0,0,0,0,0,0
"PHJJKLOP_00004",0,0,0,0,0,0
"PHJJKLOP_00005",0,0,0,0,0,0
"PHJJKLOP_00006",0,0,0,0,0,0
"PHJJKLOP_00023",9607.81938545075,9494.02610245637,9748.60964274209,9587.75718339524,8693.89248568756,8632.00702636458
"PHJJKLOP_00024",4450.46021785787,4345.09203773747,4435.35604491975,4566.29225521369,3839.59111654271,4025.16502595488
"PHJJKLOP_00025",13031.4280243635,12348.9490754334,12086.8252392943,21424.9777165977,20008.8177934983,19867.1919264819
"PHJJKLOP_00026",1138.89275235086,1018.1340661153,1147.77371436596,2108.35982118718,1963.28314052573,2209.77794384032
"PHJJKLOP_00027",5463.45103308272,5655.53229548238,5446.59162226077,21313.9155843935,20373.9322861757,22529.8257090374
"PHJJKLOP_00028",450.474820909569,416.73382725573,420.281453029914,198.455285413992,236.463728508176,227.914317077701
"PHJJKLOP_00029",25703.6312556426,27228.9142628489,24959.8114706776,72209.5031849691,61713.409175446,65942.5484532726
"PHJJKLOP_00030",22938.4088934439,22214.2830429328,21466.3552303908,61923.5111212411,55940.4326311774,58192.4707408174
"PHJJKLOP_00031",8436.58485108587,7834.99096077479,7647.20237759252,4093.82302067304,4115.01247082043,4197.58716148322
"PHJJKLOP_00032",1044.17753359551,1125.77384614107,1180.84154442669,594.45551089604,644.159812142961,642.123815071088
"PHJJKLOP_00033",3129.06740985646,3076.12765853459,3227.84689560538,2889.43612800005,2802.23108151643,2696.32546421054
"PHJJKLOP_00034",0,0,0,0,0,1.98186362676262
"PHJJKLOP_00035",26687.7454797835,27697.986698741,26582.2685520443,1520.27672771269,1312.78138930401,1252.53781211397
"PHJJKLOP_00036",3059.76359125499,3086.00286771127,3026.23980265448,2746.51190868814,2476.98020590556,2642.81514628795
"PHJJKLOP_00037",0,0,0,2.73103603780723,0,0.990931813381309
"PHJJKLOP_00038",8925.17677222625,9021.99110381125,8814.17676747762,7271.83862333471,7056.76621206965,7118.85414733132
"PHJJKLOP_00039",1197.80099816211,1130.71145072941,1153.1072353435,869.379805368634,794.554367439349,872.019995775552
