"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_00940",35.2895863300194,-21.6776243878137,3.12150847339302,-6.94459892471493,3.79537044098362e-12,1.89768522049181e-09
"PHJJKLOP_01405",50.5725754535463,21.9882544128103,3.29798267683354,6.66718311386694,2.60759674517544e-11,6.5189918629386e-09
"PHJJKLOP_00266",24.823717060534,20.6798962687047,3.13478297305082,6.5969148252004,4.19801775082045e-11,6.99669625136741e-09
"PHJJKLOP_01718",36.607931878295,-22.5581649320835,3.53798305891591,-6.37599574572178,1.81777971306504e-10,1.81777971306504e-08
"PHJJKLOP_02940",32.1279651096678,-22.5091958339251,3.52571195319177,-6.38429801775155,1.72185480191802e-10,1.81777971306504e-08
"PHJJKLOP_02959",49.4159045314849,20.8938894535982,3.60561027013611,5.7948274739104,6.83914507622679e-09,5.69928756352233e-07
"PHJJKLOP_02385",46.7996037901682,19.6319615216089,3.55896496730263,5.51619971030178,3.46408594840691e-08,2.47434710600494e-06
"PHJJKLOP_02579",58.3602347293277,8.95456840019441,2.42500840986257,3.69259271999882,0.000221979369262006,0.0138737105788754
"PHJJKLOP_00928",85.3292823754852,-9.85809244715416,2.84588781570419,-3.46397788161403,0.000532250272569439,0.029569459587191
"PHJJKLOP_01164",51.0111639851813,9.71143267543633,2.93718674647411,3.30637222406584,0.000945124450638204,0.0472562225319102
"PHJJKLOP_01893",37.2437703127786,9.04114810801631,2.85191457279636,3.1702029907408,0.00152332477811264,0.0692420353687565
"PHJJKLOP_01709",52.3769512774327,-8.31658724881656,2.68926622552725,-3.09251169329137,0.00198470414372964,0.0763347747588321
"PHJJKLOP_01902",22.4316684032015,-7.51459254197829,2.42820704801661,-3.09470831497516,0.00197006535449722,0.0763347747588321
"PHJJKLOP_00069",34.8834325727356,8.19569760831936,2.80443406522869,2.92240695188212,0.0034733738609155,0.0961201032687351
"PHJJKLOP_01322",22.0673944721252,-8.71495160545846,2.97085426505232,-2.93348337815722,0.00335181601053587,0.0961201032687351
"PHJJKLOP_01511",40.0784628589671,-8.79451252297555,2.94675183892989,-2.98447680825721,0.00284063734484122,0.0961201032687351
"PHJJKLOP_01985",56.7675343143748,-9.35183954160778,3.20823408997052,-2.91494924601768,0.0035574639126733,0.0961201032687351
"PHJJKLOP_02036",38.0770785227942,-9.19241181909657,3.09840552713461,-2.96682010750144,0.00300896954975773,0.0961201032687351
"PHJJKLOP_02863",27.0711630744339,8.16626278071907,2.80945612523329,2.90670593050851,0.00365256392421193,0.0961201032687351
"PHJJKLOP_00670",34.1884768295176,8.90539689743695,3.11031826896448,2.86317866126345,0.00419413996619889,0.098913969703646
"PHJJKLOP_01796",59.6856824498017,8.0974683151375,2.81643091480776,2.87508146305453,0.00403923268110683,0.098913969703646
"PHJJKLOP_01809",41.5904641991824,-8.99935949168723,3.15607896731876,-2.85143673047339,0.00435221466696043,0.098913969703646
"PHJJKLOP_02860",32.8796915211115,-9.27119746221154,3.29438967352578,-2.81423825988659,0.0048892975354115,0.106289076856772
"PHJJKLOP_02377",15.8533669011847,-7.72698927481187,2.796648768602,-2.76294590924782,0.005728225843839,0.119338038413312
"PHJJKLOP_03153",24.9511555771299,-8.43217363367625,3.11978435493738,-2.70280656428431,0.00687567470262986,0.137513494052597
"PHJJKLOP_00966",18.0781104376005,-8.41957315672207,3.22077458131308,-2.61414543121781,0.00894509519667153,0.144275728978573
"PHJJKLOP_00980",11.9633923952486,7.23471024132736,2.75283777523355,2.62809174823735,0.00858653533341787,0.144275728978573
"PHJJKLOP_00989",22.2726004302062,-8.28730129503986,3.11533064555558,-2.66016748715349,0.00781018026795546,0.144275728978573
"PHJJKLOP_01109",28.3937060692851,8.12024856510364,3.10586356063655,2.61448978893309,0.00893608315740146,0.144275728978573
"PHJJKLOP_02339",34.6279729104499,9.18615174845761,3.48170063768741,2.63840941665771,0.00832959503958353,0.144275728978573
"PHJJKLOP_02581",15.8297352356834,7.37919833226415,2.78632365882693,2.64836366331213,0.00808824659779109,0.144275728978573
"PHJJKLOP_02536",25.2484635489016,-8.90935443383333,3.44765827549037,-2.58417561194232,0.00976120789120927,0.152518873300145
"PHJJKLOP_01406",39.897546130058,8.1664738516091,3.18011081447265,2.56798405088388,0.0102291862380912,0.154987670274109
"PHJJKLOP_02656",23.257472942119,-8.79056140489939,3.45623133230362,-2.54339497554418,0.0109781054230566,0.161442726809655
"PHJJKLOP_02846",50.0516656345836,-6.87838558829557,2.71905021617807,-2.52970156541056,0.0114159581097928,0.163085115854182
"PHJJKLOP_02190",25.6574902079536,8.75319863822259,3.50367221496302,2.49829267727745,0.0124793114710909,0.173323770431819
"PHJJKLOP_02126",19.7134349176427,-8.55236292077911,3.4516914606803,-2.47773099600667,0.0132220790002156,0.178676743246156
"PHJJKLOP_00536",20.31220524135,-7.9825692987735,3.27811844986156,-2.43510703498545,0.0148873852239319,0.190863913127332
"PHJJKLOP_01314",19.1650973909709,-8.51128902429673,3.48342368184604,-2.44336888121119,0.0145508559392455,0.190863913127332
"PHJJKLOP_00216",130.444959467872,7.3624868627731,3.05834807889804,2.40734104583213,0.0160691557514681,0.198127158639201
"PHJJKLOP_02375",18.9058485213147,-7.67776576644668,3.19463376031141,-2.40333206949464,0.0162464270084145,0.198127158639201
"PHJJKLOP_00077",26.4499694845888,8.301361840505,3.47177916444282,2.39109731561433,0.016798099727644,0.199977377710048
"PHJJKLOP_00174",20.7751114615439,7.99582894977602,3.46199726163426,2.3096000214632,0.0209103084219206,0.215805416768642
"PHJJKLOP_00268",13.5139377365796,-8.00726921679198,3.46776593554728,-2.30905700258235,0.0209404183123378,0.215805416768642
"PHJJKLOP_00387",42.5750428242665,-5.99907709379721,2.58197725506193,-2.32344304429332,0.0201553640090272,0.215805416768642
"PHJJKLOP_00572",12.2752067317992,7.21605181285552,3.09044894344488,2.33495260556283,0.0195458967669308,0.215805416768642
"PHJJKLOP_00810",29.7124849812505,7.45553494111028,3.20072050206818,2.32933020433768,0.0198415794443487,0.215805416768642
"PHJJKLOP_01046",26.3447002002473,6.83656184478631,2.96556499326011,2.30531512892952,0.0211489308433269,0.215805416768642
"PHJJKLOP_01073",14.9577124135143,7.97714579825683,3.45442310039242,2.30925557362983,0.0209294033536364,0.215805416768642
"PHJJKLOP_00348",17.9294553655457,-5.82912518581493,2.5544987952069,-2.28190563125429,0.0224949123125655,0.224949123125655
"PHJJKLOP_00953",19.6529908805744,7.10174371409838,3.12476147492268,2.27273146161472,0.0230423675022858,0.2259055637479
"PHJJKLOP_00491",37.4692218954666,7.21369572110103,3.20337012015943,2.25190828737018,0.0243280683173128,0.229468303098734
"PHJJKLOP_00589",12.0195642565144,-7.8388674140084,3.52416747148052,-2.22431750972245,0.0261270894546994,0.229468303098734
"PHJJKLOP_00597",16.6799093777367,6.93596995734226,3.10472098328854,2.23400749847596,0.0254825796821106,0.229468303098734
"PHJJKLOP_01136",10.8100988950369,6.97193715152366,3.13509304819255,2.22383739313356,0.0261593865532557,0.229468303098734
"PHJJKLOP_01491",14.8697894649124,7.71732997321213,3.42973760507077,2.25012256383761,0.0244411661157201,0.229468303098734
"PHJJKLOP_02358",14.4494672737966,-7.72368553073898,3.46302079559539,-2.23033183645987,0.0257254211203854,0.229468303098734
"PHJJKLOP_01031",20.0758490781993,7.66431416338566,3.49695967626252,2.19170790427218,0.028400604635365,0.241716310554163
"PHJJKLOP_02560",30.0446354786681,-6.57047756070527,3.00018572101335,-2.19002360910044,0.0285225246453912,0.241716310554163
"PHJJKLOP_02255",32.2545053408892,5.86565798067178,2.71092832769827,2.16370824737077,0.0304867476487731,0.254056230406443
"PHJJKLOP_01336",12.9548887281455,7.40205911111769,3.4334542645963,2.15586361159467,0.0310943165885299,0.254871447446967
"PHJJKLOP_02361",12.7480065402752,-5.56364632519213,2.61328184618614,-2.12898824262365,0.0332552331615261,0.268187364205856
"PHJJKLOP_00938",16.1034440854023,7.29079621648565,3.47785939803939,2.09634587890349,0.0360515196592082,0.281652497337564
"PHJJKLOP_01006",11.0319709548332,-7.27093612983891,3.46202582563211,-2.10019696444967,0.0357115182990187,0.281652497337564
"PHJJKLOP_02676",26.5683508748303,5.84521546961022,2.79893805489622,2.08836900101633,0.0367645615322104,0.282804319478542
"PHJJKLOP_01324",742.400310839437,-4.92646921148429,2.41586862942729,-2.03921237747607,0.0414288361220055,0.313854819106102
"PHJJKLOP_00371",17.1704954862616,-7.06548989071394,3.49105802146513,-2.0238821146114,0.0429822826092221,0.319996115562258
"PHJJKLOP_01624",58.3306688130358,-6.40789079410659,3.17428206240251,-2.0186897913088,0.0435194717164671,0.319996115562258
