"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_00940",35.2895863300194,23.0155006147414,3.11939506424806,7.37819357301875,1.60451574543443e-13,1.03972620304151e-10
"PHJJKLOP_01718",36.607931878295,22.6285048961137,3.53798062771059,6.39588151469231,1.59623749229145e-10,5.17180947502429e-08
"PHJJKLOP_02940",32.1279651096678,22.3238777673232,3.52605993136283,6.33111126919926,2.43401730234167e-10,5.257477373058e-08
"PHJJKLOP_02893",24.2522086423081,-20.7899912808637,3.50973946759083,-5.92351411631544,3.1513366436253e-09,5.10516536267298e-07
"PHJJKLOP_01909",19.5148611117506,-19.2270062042774,3.49580362572222,-5.50002467610152,3.79738101785961e-08,4.92140579914605e-06
"PHJJKLOP_02212",46.8774521153238,-8.88766871709709,2.5444940549688,-3.49290213500068,0.000477801581395303,0.0516025707906928
"PHJJKLOP_00928",85.3292823754852,9.44442349854659,2.84620312979083,3.31825350049442,0.000905822345686212,0.0733716100005832
"PHJJKLOP_01116",72.1067232737989,-9.1534339146409,2.73487779436024,-3.34692611622968,0.000817129860005555,0.0733716100005832
"PHJJKLOP_01456",35.6985294334169,-8.04710546176431,2.46222682939632,-3.26822263720409,0.00108225195859083,0.0779221410185401
"PHJJKLOP_01624",58.3306688130358,10.0025525564742,3.16703817134678,3.15833028062955,0.00158675672873221,0.0998292288279061
"PHJJKLOP_02846",50.0516656345836,8.52821143579623,2.71676299886476,3.13910762159227,0.00169463197084408,0.0998292288279061
"PHJJKLOP_01171",25.4806420838574,8.92273673166142,3.0062575059156,2.96805470393125,0.00299690988753495,0.161833133926888
"PHJJKLOP_01511",40.0784628589671,8.31884862578056,2.94746924073731,2.82236995413042,0.0047670151100721,0.237617368563594
"PHJJKLOP_01985",56.7675343143748,8.7397186880992,3.20884136555939,2.72363688087012,0.00645674533616611,0.278931398522376
"PHJJKLOP_03162",45.6738643510233,-8.04084631099913,2.95071704087385,-2.72504825085425,0.00642920906453797,0.278931398522376
"PHJJKLOP_02339",34.6279729104499,-9.15172429023676,3.48174765400478,-2.62848580646281,0.00857659345065251,0.347352034751427
"PHJJKLOP_01655",48.348425358567,-8.09949479390927,3.13483122605997,-2.58371000217743,0.00977439416405379,0.360596028145069
"PHJJKLOP_01809",41.5904641991824,8.13075862435449,3.15726077273174,2.57525722758705,0.010016556337363,0.360596028145069
"PHJJKLOP_00221",7.92711886861487,7.21842566857977,2.89869595994485,2.49023207964078,0.0127659704715131,0.411513916856895
"PHJJKLOP_00374",23.1084716236363,-7.71470571902877,3.25567915868061,-2.36961486160547,0.0178066231698912,0.411513916856895
"PHJJKLOP_00430",31.0777976570907,-7.43523658727115,3.13880836777826,-2.36880870574906,0.0178454807678118,0.411513916856895
"PHJJKLOP_01075",25.992177361927,-7.63033317497538,3.11704342406541,-2.44793932483093,0.0143675848280652,0.411513916856895
"PHJJKLOP_01162",22.81416497926,8.30596649762907,3.5278073426453,2.35442746468147,0.0185512639150578,0.411513916856895
"PHJJKLOP_01679",21.446828140255,-7.00294703557149,2.94406086462137,-2.37866924550561,0.0173752586146951,0.411513916856895
"PHJJKLOP_02042",18.8536729219871,-7.50656890366306,3.09349263452338,-2.42656756957807,0.015242411659793,0.411513916856895
"PHJJKLOP_02139",21.6725061003098,7.72634076633974,3.23619639099855,2.387475861425,0.0169645167720252,0.411513916856895
"PHJJKLOP_02190",25.6574902079536,-8.71876911234443,3.50372005806023,-2.48843200023561,0.0128307771332946,0.411513916856895
"PHJJKLOP_02533",20.088079243318,8.57922480705452,3.47415485054451,2.46944226038453,0.0135323855299324,0.411513916856895
"PHJJKLOP_02714",16.5963778475001,8.30424009455183,3.46826157824922,2.39435230221124,0.0166497476777441,0.411513916856895
"PHJJKLOP_02784",14.8357066584134,8.14259774132745,3.47303349277304,2.34452036188859,0.0190515702248563,0.411513916856895
"PHJJKLOP_01073",14.9577124135143,-7.94270913707127,3.45446906634447,-2.29925611853178,0.0214904000294716,0.421286401052419
"PHJJKLOP_01284",12.6025159676095,7.90722195230778,3.46342154525128,2.28306657130705,0.0224264473014109,0.421286401052419
"PHJJKLOP_02036",38.0770785227942,7.12993167712964,3.1023023359629,2.29827105968272,0.021546366523228,0.421286401052419
"PHJJKLOP_02375",18.9058485213147,7.278556598123,3.19581319580246,2.2775288016468,0.0227546667235103,0.421286401052419
"PHJJKLOP_02377",15.8533669011847,6.49052012574402,2.80177308883745,2.31657593957302,0.0205268432914594,0.421286401052419
"PHJJKLOP_01351",6.60277264655109,-6.70586328627111,2.98152405771659,-2.24913941878665,0.0245036273230365,0.430873384181763
"PHJJKLOP_03153",24.9511555771299,7.0197653392135,3.12324088076335,2.24759011783228,0.0246023382943291,0.430873384181763
"PHJJKLOP_02214",16.0909080184024,-7.05748955673974,3.15657050745707,-2.23580925566755,0.0253642683987085,0.432527524272714
"PHJJKLOP_01505",93.996508881707,-4.9893534932155,2.24783057589346,-2.21963058369394,0.0264438544421615,0.439374812269761
"PHJJKLOP_00885",25.2044377630626,-5.89258343623854,2.67881096659722,-2.19970110236021,0.0278281085448026,0.450815358425803
"PHJJKLOP_00371",17.1704954862616,7.59264962231773,3.48977543644108,2.17568429848908,0.0295788750673114,0.456359786752804
"PHJJKLOP_00989",22.2726004302062,6.8042672329469,3.11945513216388,2.18123580710936,0.0291659796435074,0.456359786752804
"PHJJKLOP_01486",11.9590773900772,-7.44930650920823,3.44034166180969,-2.16528102191157,0.0303661708266791,0.457611132457861
"PHJJKLOP_00536",20.31220524135,7.06499966877418,3.28056485481345,2.15359243954832,0.0312721477013325,0.460553447965078
"PHJJKLOP_01205",12.0952392712003,-7.33496355188952,3.43672300348861,-2.13429000371686,0.0328190490413047,0.462320516929683
"PHJJKLOP_03163",14.4576742785326,7.44210021631328,3.48249541754856,2.1370021562159,0.0325978162441229,0.462320516929683
"PHJJKLOP_01902",22.4316684032015,5.18065194879331,2.4385304211203,2.12449756784794,0.0336285592123413,0.463644816374408
"PHJJKLOP_02356",13.2879494934374,-6.96463592833529,3.50773950192876,-1.98550545857403,0.0470882634157748,0.622718259049431
"PHJJKLOP_02435",9.65763092154701,6.5283666650593,3.28684862116524,1.98620849862714,0.047010177586035,0.622718259049431
"PHJJKLOP_01164",51.0111639851813,-5.3862180513053,2.72636042652754,-1.97560747980982,0.0481992508328232,0.624662290793389
"PHJJKLOP_00599",7.73509199878675,6.30655149877693,3.23371022592358,1.95025251434696,0.0511460294157459,0.649855432576536
