"","ERR1801006","ERR1801007","ERR1801008","ERR1801009","ERR1801010","ERR1801011","ERR1801012","ERR1801013","ERR1801014"
"PHJJKLOP_00001",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00002",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00003",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00004",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00005",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00006",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00023",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00024",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00025",0,0,48.9553080130906,0,0,0,0,0,0
"PHJJKLOP_00026",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00027",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00028",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00029",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00030",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00031",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00032",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00033",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00034",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00035",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00036",0,4.86626166618281,0,29.0554836473508,0,0,0,2.93654015777717,85.503854155931
"PHJJKLOP_00037",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00038",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00039",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00040",0,0,0,0,0,4.23916987575335,0,3.91538687703622,0
"PHJJKLOP_00041",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00042",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00043",0,0,0,0,0,0,0,0,57.0025694372873
"PHJJKLOP_00044",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00045",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00046",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00047",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00048",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00049",0,22.3848036644409,0,0,0,0,0,0.978846719259055,0
"PHJJKLOP_00050",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00051",12.6335596886553,71.047420326269,57.8562731063798,0,0,66.009930922445,32.5682128817423,90.0538981718331,62.2805851259251
"PHJJKLOP_00052",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00053",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00054",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00055",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00056",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00057",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00058",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00059",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00060",0,0,0,0,0,54.5036126882573,0,0,0
"PHJJKLOP_00061",3.60958848247293,0,0,0,0,0,0,0,0
"PHJJKLOP_00062",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00063",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00064",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00065",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00066",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00067",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00068",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00069",42.412664669057,0,114.599925576098,25.6769390371937,99.7703876523895,31.490976219882,0,0,0
"PHJJKLOP_00070",32.4862963422564,0,0,0,0,10.9007225376515,0,0,0
"PHJJKLOP_00071",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00072",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00073",0,19.4650466647312,0,17.5684319728168,0,0,0,21.5346278236992,0
"PHJJKLOP_00074",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00075",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00076",0,0,0,0,1.53492904080599,0,0,37.1961753318441,0
"PHJJKLOP_00077",69.484578287604,0,0,66.2194743590786,0,102.345672714617,0,0,0
"PHJJKLOP_00078",164.236275952519,213.142260978807,268.141573435337,590.569597855456,148.888116958181,93.2617372665737,115.309078040763,94.9481317681283,120.33875770094
"PHJJKLOP_00079",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00080",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00081",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00082",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00083",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00084",0,20.4382989979678,0,27.0283568812566,0,34.518954702563,0,0,59.1137757127424
"PHJJKLOP_00085",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00086",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00087",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00088",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00089",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00090",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00091",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00092",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00093",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00094",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00095",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00096",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00097",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00098",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00099",0,0,0,2.70283568812566,0,0,0,0,0
"PHJJKLOP_00100",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00101",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00102",0,27.2510653306237,0,0,0,26.0406149510563,0,0,0
"PHJJKLOP_00103",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00104",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00105",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00106",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00107",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00108",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00109",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00110",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00111",0.902397120618234,0,0,0,0,0,0,0,0
"PHJJKLOP_00112",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00113",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00114",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00115",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00116",0,1.94650466647312,0,0,0,0,0,0,0
"PHJJKLOP_00117",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00118",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00119",19.8527366536011,0,0,0,0,3.63357417921716,0,0,0
"PHJJKLOP_00120",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00121",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00122",0,1.94650466647312,0,0,0,0,0,0.978846719259055,0
"PHJJKLOP_00123",0,0,0,0,0,24.8294235579839,0,0,0
"PHJJKLOP_00124",0,0,0,0,0,0,0,0,0
