"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_00266",24.6656449058216,20.7065877517826,3.14329828094636,6.58753509881613,4.4718829257344e-11,1.35498052649752e-08
"PHJJKLOP_01405",50.1130295945149,21.95463586625,3.30769487277401,6.63744290531781,3.19171525085115e-11,1.35498052649752e-08
"PHJJKLOP_01718",37.5075356587519,-22.5678167200668,3.5519039652796,-6.3537237888948,2.10164065470196e-10,3.18398559187347e-08
"PHJJKLOP_02940",32.4081698382025,-22.5320430542176,3.53668978030753,-6.370941319105,1.8787151932517e-10,3.18398559187347e-08
"PHJJKLOP_01048",13.6339908038162,-21.7908883596746,3.53113344093674,-6.17107473397943,6.7827350610967e-10,8.2206748940492e-08
"PHJJKLOP_02959",50.1724937468286,20.8933661586964,3.61901692432763,5.77321593006314,7.77726713981149e-09,7.85503981120961e-07
"PHJJKLOP_02579",58.7304695494737,8.92592543517764,2.43513447803268,3.6654753631466,0.000246879578744967,0.0213727178170643
"PHJJKLOP_00928",86.7968927249038,-9.88952489334632,2.85736338374887,-3.46106657262865,0.000538039741257854,0.0407565104002824
"PHJJKLOP_01164",50.4925900100756,9.67510525614124,2.94708000079293,3.28294625647695,0.00102728248362763,0.0691703538975937
"PHJJKLOP_01893",37.0068673081388,9.00902493897033,2.86017038060354,3.14982107362054,0.00163370484057781,0.0990025133390151
"PHJJKLOP_01709",53.1560510723978,-8.34013641402979,2.70357626410795,-3.08485339391068,0.0020365251096108,0.102844518035346
"PHJJKLOP_01902",22.7808930476475,-7.54435033780851,2.43442029827632,-3.09903361516918,0.00194152990139672,0.102844518035346
"PHJJKLOP_00069",35.105183058154,8.15789790759598,2.81483744494301,2.89817727210218,0.00375338373502226,0.133992216916325
"PHJJKLOP_00670",34.331743095814,8.88730626168858,3.12233841129179,2.8463622743608,0.00442218537677639,0.133992216916325
"PHJJKLOP_01322",22.3935301213136,-8.74307518162622,2.98307920434141,-2.93088938734916,0.00337993106298394,0.133992216916325
"PHJJKLOP_01796",60.2348480663383,8.05331502698164,2.82612244449352,2.8495987647927,0.00437744125618348,0.133992216916325
"PHJJKLOP_01809",42.4029209934925,-9.02803121400809,3.16872431902913,-2.8491059193102,0.00438422819523028,0.133992216916325
"PHJJKLOP_01985",57.7205564641586,-9.38226670805226,3.2204269786132,-2.91336110719471,0.00357560859070013,0.133992216916325
"PHJJKLOP_02036",38.5870606441332,-9.2234608256214,3.10807796010672,-2.96757705051411,0.00300157041476767,0.133992216916325
"PHJJKLOP_02863",26.9446185759296,8.13254503221264,2.81695526962877,2.8869982849548,0.00388936350533316,0.133992216916325
"PHJJKLOP_02860",33.2497576051056,-9.29454308226508,3.30496476168131,-2.8122971809045,0.00491890336754142,0.141945497177624
"PHJJKLOP_02377",16.0803148238661,-7.75317399989343,2.80384616286895,-2.76519236417744,0.00568892367857467,0.156703988600739
"PHJJKLOP_03153",25.180214301052,-8.45779000956929,3.12800546982821,-2.70389233367734,0.00685324908458197,0.18056821501116
"PHJJKLOP_00966",18.2816824356612,-8.44249196768356,3.23114345607352,-2.61284962504972,0.00897907997385826,0.194332945148504
"PHJJKLOP_00980",11.9764370576635,7.21487871808888,2.7575591331242,2.61640036343109,0.00888622947703397,0.194332945148504
"PHJJKLOP_00989",22.6795745033165,-8.31750473530034,3.12602981703173,-2.66072469622125,0.00779726819788653,0.194332945148504
"PHJJKLOP_02339",34.0591295394818,9.14099381563745,3.49647929832781,2.61434232429437,0.00893994139849243,0.194332945148504
"PHJJKLOP_02581",15.891511629588,7.35755470395835,2.79415219827153,2.63319754325114,0.0084585134897772,0.194332945148504
"PHJJKLOP_01109",28.6435282518333,8.10258701103975,3.11772118392158,2.59888121260671,0.00935281319762488,0.195441544750368
"PHJJKLOP_01406",40.4552608084015,8.13664560854549,3.19271683052929,2.54850211917998,0.0108186629552772,0.214618725162325
"PHJJKLOP_02656",23.7132365515457,-8.82550630934752,3.4700029438871,-2.54337141842916,0.0109788456766206,0.214618725162325
"PHJJKLOP_02846",51.0637724036349,-6.90585499164343,2.72976774222231,-2.52983244135684,0.0114117009679545,0.216109087080638
"PHJJKLOP_02126",19.992111604314,-8.57957155410461,3.46429470577029,-2.47657092793349,0.0132651265131361,0.237489602190115
