"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_00266",24.6656449058216,20.0346080278481,3.14496502080783,6.37037547168074,1.88565993718205e-10,7.44154560018986e-08
"PHJJKLOP_01909",19.9074007265492,-22.2264195793188,3.49526785434862,-6.35900323108739,2.03067136462792e-10,7.44154560018986e-08
"PHJJKLOP_02893",24.670848559139,-22.2640160587206,3.51967046297718,-6.32559675484169,2.52255783057284e-10,7.44154560018986e-08
"PHJJKLOP_01405",50.1130295945149,20.4848046147888,3.30947934278751,6.18973635820759,6.0264925194865e-10,1.33336146993639e-07
"PHJJKLOP_02959",50.1724937468286,21.8302204638535,3.61827459691725,6.03332330897515,1.60621600162934e-09,2.84300232288393e-07
"PHJJKLOP_02579",58.7304695494737,8.92974381690297,2.43526771583335,3.66684277003492,0.000245563679973176,0.0362206427960434
"PHJJKLOP_01709",53.1560510723978,-9.74081439695217,2.76427573447668,-3.52382154770687,0.000425370626876385,0.0537790006836572
"PHJJKLOP_01116",72.2083658284118,-9.26248342681457,2.74355467751073,-3.37608851128076,0.00073524261950765,0.0666827787545262
"PHJJKLOP_01456",35.9052423616662,-8.32665126475105,2.47121916320199,-3.36945075076308,0.000753181493997273,0.0666827787545262
"PHJJKLOP_01796",60.2348480663383,9.51734076118157,2.82468793587901,3.36934237594635,0.000753477726039844,0.0666827787545262
"PHJJKLOP_02212",46.9140114349404,-8.20837676435319,2.55477737829069,-3.21295187365606,0.0013137830187155,0.105699815596656
"PHJJKLOP_03162",46.0167349001371,-8.91930606895344,2.96049839463427,-3.0127717971809,0.00258873503348433,0.190919208719469
"PHJJKLOP_00069",35.105183058154,8.21071232888725,2.81495341062793,2.91681997218409,0.00353619811214618,0.233750723776568
"PHJJKLOP_01171",26.2554962106655,8.76653932969208,3.01996915665644,2.90285723957458,0.00369775156256718,0.233750723776568
"PHJJKLOP_01322",22.3935301213136,-8.49725438022963,2.98307920434142,-2.84848433385985,0.00439280160320844,0.242976838677467
"PHJJKLOP_01655",48.9537068155984,-9.02244991257415,3.14719295457742,-2.86682451403289,0.00414612843746616,0.242976838677467
"PHJJKLOP_00491",38.0110139479142,8.9192708087515,3.21285746514882,2.77611780338919,0.00550122718208529,0.286387415067381
"PHJJKLOP_00430",31.3575922931868,-8.39061634630824,3.14920787844746,-2.66435772745645,0.00771354871058921,0.302128042314115
"PHJJKLOP_00818",34.8318930459713,-7.94243610555501,2.97752346604694,-2.6674638155244,0.00764261183970724,0.302128042314115
"PHJJKLOP_00885",25.4219493435419,-7.24355981603395,2.68419650426409,-2.69859520513006,0.00696328174421214,0.302128042314115
"PHJJKLOP_01177",27.6844074971324,-8.59007479768172,3.16998922624585,-2.70981198502519,0.00673213579182472,0.302128042314115
"PHJJKLOP_01406",40.4552608084015,8.60592304111479,3.1922970196915,2.69584032689617,0.00702113138911519,0.302128042314115
"PHJJKLOP_02138",47.456110564143,-6.56304273349994,2.49445317563369,-2.63105469271142,0.00851203363239777,0.302128042314115
"PHJJKLOP_02139",22.1485248096752,8.51629843673492,3.24840347746071,2.62168739069081,0.00874956464197118,0.302128042314115
"PHJJKLOP_02676",27.187638036136,7.44061147791742,2.80563054864814,2.65202825136851,0.00800098469963599,0.302128042314115
"PHJJKLOP_02863",26.9446185759296,7.37635599169186,2.81885606843642,2.6167905748318,0.00887607807928475,0.302128042314115
"PHJJKLOP_00810",29.9818292664798,8.34574013909857,3.21008337831043,2.59985151647095,0.00932641052055468,0.30569901150707
"PHJJKLOP_01921",71.5595814956355,5.83471832377288,2.29608448938667,2.5411601144222,0.0110485310061752,0.337170687602243
"PHJJKLOP_02560",30.6027498475271,-7.96491206818976,3.12609464372138,-2.54787937536918,0.0108379938757212,0.337170687602243
"PHJJKLOP_01075",26.2405429821397,-7.83657505387684,3.12847999781734,-2.50491454615155,0.012248098126199,0.36131889472287
"PHJJKLOP_02656",23.7132365515457,-8.57968589424508,3.4700029438871,-2.47252986034476,0.0134160505280334,0.383006603784178
"PHJJKLOP_01109",28.6435282518333,7.64757315862423,3.11875259756354,2.45212562375058,0.014201507244899,0.392760434741738
"PHJJKLOP_01662",10.313186064485,-6.99336370260042,2.87437991351311,-2.43299908607176,0.0149743386883026,0.401584537549933
"PHJJKLOP_02126",19.992111604314,-8.33375113391698,3.46429470577029,-2.40561264029757,0.0161453738121786,0.408247309250801
"PHJJKLOP_02533",20.4130656959771,8.40299236531254,3.48642822216967,2.410200878905,0.0159437392706893,0.408247309250801
"PHJJKLOP_01314",19.5635858689148,-8.30209956714906,3.49610516693639,-2.37467100408313,0.0175645980203522,0.421574248155049
"PHJJKLOP_02581",15.891511629588,6.63899027199355,2.79724812309531,2.37340056363936,0.0176251380584597,0.421574248155049
