"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_01718",37.5075356587519,22.6753813075522,3.55186267398773,6.38408164640392,1.72429080984369e-10,8.99947473271913e-08
"PHJJKLOP_02940",32.4081698382025,22.3206489123494,3.53708233059178,6.31046914551602,2.78190872727021e-10,8.99947473271913e-08
"PHJJKLOP_02893",24.670848559139,-20.7686546147306,3.52265107728213,-5.8957456072415,3.72993247689317e-09,8.04422104183294e-07
"PHJJKLOP_01048",13.6339908038162,20.2847136419219,3.5373161837209,5.73449264594279,9.7804668146208e-09,1.58199050726491e-06
"PHJJKLOP_01909",19.9074007265492,-19.2003475186497,3.50752228789972,-5.47404861399947,4.39868309778782e-08,5.69189592853743e-06
"PHJJKLOP_02212",46.9140114349404,-8.8487029913772,2.5538268895591,-3.46487971739731,0.000530468679384297,0.0572022059269401
"PHJJKLOP_00928",86.7968927249038,9.47615263114039,2.85768015606183,3.31602982616483,0.000913060834890444,0.0738437950217646
"PHJJKLOP_01116",72.2083658284118,-9.10500996733324,2.74362716163913,-3.31860323247916,0.000904688752509909,0.0738437950217646
"PHJJKLOP_01456",35.9052423616662,-8.0141339716216,2.47162371931583,-3.24245713819254,0.00118503771921784,0.0851910449259935
"PHJJKLOP_01624",59.4404617360037,10.0375732845654,3.17902778411237,3.15743490344111,0.00159163769293856,0.0982907714246543
"PHJJKLOP_02846",51.0637724036349,8.57299403502617,2.72747007493472,3.14320370141233,0.0016710950319493,0.0982907714246543
"PHJJKLOP_01171",26.2554962106655,8.97287552880142,3.02000086339307,2.97114998792421,0.00296686845054687,0.159963657291986
"PHJJKLOP_01985",57.7205564641586,8.77153605230904,3.22103478595519,2.7232043846766,0.00646520468542658,0.314104062108487
"PHJJKLOP_03162",46.0167349001371,-8.01572602140659,2.9614987414325,-2.70664508792914,0.00679668758812801,0.314104062108487
"PHJJKLOP_01655",48.9537068155984,-8.07790181181825,3.14813403313774,-2.56593325658597,0.0102898625711172,0.391620063736048
"PHJJKLOP_01809",42.4029209934925,8.17683177837722,3.16987934458453,2.57954038293181,0.00989318905923526,0.391620063736048
"PHJJKLOP_02339",34.0591295394818,-9.10153065782096,3.49652687466449,-2.60302036394166,0.00924064647992056,0.391620063736048
"PHJJKLOP_00221",8.14902129464952,7.26543242026842,2.90197094697156,2.5036199717473,0.0122929995290469,0.41703268111749
"PHJJKLOP_00374",23.2375788088061,-7.68922958379203,3.26622592365664,-2.35416341781517,0.0185644476221958,0.41703268111749
"PHJJKLOP_00430",31.3575922931868,-7.41582310346424,3.15071621763255,-2.35369439556714,0.0185878858473831,0.41703268111749
"PHJJKLOP_01075",26.2405429821397,-7.60809159349271,3.12877268345294,-2.4316536748513,0.0150300708947774,0.41703268111749
"PHJJKLOP_01162",23.4699611587184,8.36270252584432,3.53963199277696,2.36259095377977,0.0181476876762523,0.41703268111749
"PHJJKLOP_01679",21.5727110927268,-6.98142343435391,2.9537277924742,-2.36359743512651,0.0180984668187308,0.41703268111749
"PHJJKLOP_02042",18.9787544795805,-7.48491645717264,3.10464256286844,-2.4108786456426,0.0159141426274571,0.41703268111749
"PHJJKLOP_02139",22.1485248096752,7.76146673233245,3.24832428866928,2.38937558032792,0.0168770392515853,0.41703268111749
"PHJJKLOP_02190",25.2010870125119,-8.66658620086973,3.51767852597966,-2.46372320178295,0.0137502253194166,0.41703268111749
"PHJJKLOP_02533",20.4130656959771,8.60934251209855,3.48647539898506,2.46935415480196,0.0135357182232876,0.41703268111749
"PHJJKLOP_02714",17.15417980552,8.3588373221373,3.48016037469465,2.40185405905919,0.0163122148160917,0.41703268111749
"PHJJKLOP_02784",15.2866866444798,8.19270885988466,3.48387179361956,2.35161031898159,0.0186923458306139,0.41703268111749
"PHJJKLOP_01073",14.9679070725636,-7.91731606428689,3.46731895640679,-2.28341152453182,0.0224061390511406,0.427262949907754
"PHJJKLOP_01284",12.8785745015986,7.9454262793157,3.47262247371959,2.28801902292742,0.0221364133369865,0.427262949907754
"PHJJKLOP_02036",38.5870606441332,7.13562447246502,3.11206059223309,2.292893811346,0.0218541192092684,0.427262949907754
"PHJJKLOP_02375",19.323352558641,7.3177422172735,3.20585226742249,2.2826199109783,0.0224527670739778,0.427262949907754
"PHJJKLOP_02377",16.0803148238661,6.52105435368869,2.80896536386461,2.32151468920817,0.0202590822411589,0.427262949907754
"PHJJKLOP_03153",25.180214301052,7.02547157586418,3.13155155350439,2.24344752300254,0.0248679702677847,0.459702193235906
"PHJJKLOP_01351",6.53764691224855,-6.6636967821565,2.98676137493471,-2.23107772789588,0.0256759807705848,0.461454432182455
"PHJJKLOP_00371",17.5430075907184,7.63015309362275,3.50005799487604,2.18000761838604,0.0292568968375516,0.464605883960738
"PHJJKLOP_00885",25.4219493435419,-5.86825694286784,2.68755654041211,-2.18349153017931,0.0289996320216429,0.464605883960738
"PHJJKLOP_00989",22.6795745033165,6.84528530253195,3.13010755257507,2.18691696293327,0.0287485863735124,0.464605883960738
"PHJJKLOP_01505",93.8479252308681,-4.91962600800059,2.25927941721281,-2.17751995194545,0.029441794810495,0.464605883960738
"PHJJKLOP_02214",16.1857212066085,-7.01670781867729,3.16589939135882,-2.21633948249559,0.0266682609358456,0.464605883960738
"PHJJKLOP_00536",20.8530889903579,7.12392070365491,3.29184607513532,2.16411112216481,0.030455822122395,0.469164688409275
"PHJJKLOP_01486",11.8056600644985,-7.40006419035072,3.4491191134636,-2.14549394987973,0.0319133746388055,0.471064137596075
"PHJJKLOP_03163",14.752777488097,7.48543320028821,3.49138862044311,2.14397021186893,0.0320352736541381,0.471064137596075
"PHJJKLOP_01205",12.1292524574295,-7.30967577137801,3.44585222040272,-2.12129694015831,0.0338968217156725,0.47676616630522
"PHJJKLOP_01902",22.7808930476475,5.19136173591545,2.44489668201502,2.12334605961216,0.0337248636864055,0.47676616630522
"PHJJKLOP_02435",9.76224468751493,6.55725896390803,3.29182102791373,1.99198525931522,0.0463726752564679,0.638364274275207
"PHJJKLOP_01164",50.4925900100756,-5.37127610689236,2.73765944223088,-1.96199571942205,0.0497629826191051,0.65707448478696
"PHJJKLOP_02356",13.2468721593391,-6.91874324604959,3.51634572140325,-1.96759471173061,0.0491146886952746,0.65707448478696
"PHJJKLOP_00599",7.78148478465832,6.31494023589662,3.23574034542089,1.95162144108173,0.0509831657201753,0.659722164419068
"PHJJKLOP_01105",24.5184346329728,-6.77467626067299,3.51198354505456,-1.9290170850068,0.053728741259052,0.665038909506433
