"","ERR1801006","ERR1801007","ERR1801008","ERR1801009","ERR1801010","ERR1801011","ERR1801012","ERR1801013","ERR1801014"
"PHJJKLOP_00001",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00002",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00003",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00004",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00005",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00006",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00023",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00024",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00025",0,0,49.8967392029027,0,0,0,0,0,0
"PHJJKLOP_00026",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00027",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00028",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00029",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00030",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00031",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00032",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00033",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00034",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00035",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00036",0,4.86129872405176,0,29.0326606581171,0,0,0,2.97055319515291,87.3940244791475
"PHJJKLOP_00037",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00038",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00039",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00040",0,0,0,0,0,4.2658936156205,0,3.96073759353721,0
"PHJJKLOP_00041",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00042",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00043",0,0,0,0,0,0,0,0,58.2626829860983
"PHJJKLOP_00044",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00045",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00046",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00047",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00048",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00049",0,22.3619741306381,0,0,0,0,0,0.990184398384303,0
"PHJJKLOP_00050",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00051",13.1060463348829,70.9749613711557,58.9688736034305,0,0,66.4260577289478,32.9248490079044,91.0969646513559,63.6573758551815
"PHJJKLOP_00052",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00053",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00054",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00055",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00056",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00057",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00058",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00059",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00060",0,0,0,0,0,54.8472036294065,0,0,0
"PHJJKLOP_00061",3.7445846671094,0,0,0,0,0,0,0,0
"PHJJKLOP_00062",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00063",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00064",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00065",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00066",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00067",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00068",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00069",43.9988698385355,0,116.803730406795,25.6567698839174,97.7977819638144,31.6894954303237,0,0,0
"PHJJKLOP_00070",33.7012620039846,0,0,0,0,10.9694407258813,0,0,0
"PHJJKLOP_00071",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00072",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00073",0,19.445194896207,0,17.5546320258382,0,0,0,21.7840567644547,0
"PHJJKLOP_00074",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00075",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00076",0,0,0,0,1.50458126098176,0,0,37.6270071386035,0
"PHJJKLOP_00077",72.083254841856,0,0,66.1674591743133,0,102.990860148552,0,0,0
"PHJJKLOP_00078",170.378602353478,212.924884113467,273.298048815899,589.430529175261,145.944382315231,93.849659543651,116.571762703661,96.0478866432774,88.4729630529641
"PHJJKLOP_00079",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00080",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00081",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00082",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00083",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00084",0,20.4174546410174,0,27.0071261935973,0,34.7365622986241,0,0,60.4205601337316
"PHJJKLOP_00085",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00086",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00087",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00088",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00089",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00090",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00091",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00092",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00093",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00094",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00095",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00096",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00097",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00098",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00099",0,0,0,2.70071261935973,0,0,0,0,0
"PHJJKLOP_00100",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00101",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00102",0,27.2232728546898,0,0,0,26.2047750673831,0,0,0
"PHJJKLOP_00103",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00104",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00105",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00106",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00107",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00108",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00109",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00110",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00111",0.936146166777351,0,0,0,0,0,0,0,0
"PHJJKLOP_00112",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00113",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00114",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00115",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00116",0,1.9445194896207,0,0,0,0,0,0,0
"PHJJKLOP_00117",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00118",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00119",20.5952156691017,0,0,0,0,3.65648024196043,0,0,0
"PHJJKLOP_00120",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00121",0,0,0,0,0,0,0,0,0
"PHJJKLOP_00122",0,1.9445194896207,0,0,0,0,0,0.990184398384303,0
"PHJJKLOP_00123",0,0,0,0,0,24.9859483200629,0,0,0
"PHJJKLOP_00124",0,0,0,0,0,0,0,0,0
