# BUSCO version is: 5.8.2 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
4421at2	Complete	tig00000001	596972	593319	-	1723.6	1053	https://v10-1.orthodb.org/?query=4421at2	DNA-directed RNA polymerase subunit beta'
9601at2	Complete	tig00000001	600668	597051	-	1301.9	819	https://v10-1.orthodb.org/?query=9601at2	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
26038at2	Complete	tig00000001	2577444	2575222	-	362.7	414	https://v10-1.orthodb.org/?query=26038at2	PurM-like, C-terminal domain
91428at2	Complete	tig00000001	2439201	2436559	-	566.1	547	https://v10-1.orthodb.org/?query=91428at2	Alanine--tRNA ligase
95696at2	Complete	tig00000001	2138836	2140830	+	757.9	475	https://v10-1.orthodb.org/?query=95696at2	excinuclease ABC subunit B
143460at2	Complete	tig00000001	2550091	2548262	-	537.5	439	https://v10-1.orthodb.org/?query=143460at2	GTP-binding protein
182107at2	Complete	tig00000001	2250451	2252286	+	754.0	492	https://v10-1.orthodb.org/?query=182107at2	Elongation factor 4
219876at2	Complete	tig00000001	648379	649713	+	309.5	265	https://v10-1.orthodb.org/?query=219876at2	Chromosomal replication initiator protein DnaA
223233at2	Complete	tig00000001	2647982	2645904	-	525.6	464	https://v10-1.orthodb.org/?query=223233at2	DNA topoisomerase, type IA
226836at2	Complete	tig00000001	262883	261114	-	596.9	473	https://v10-1.orthodb.org/?query=226836at2	Aminoacyl-tRNA synthetase, class II
232152at2	Complete	tig00000001	663411	664703	+	330.8	280	https://v10-1.orthodb.org/?query=232152at2	adenylosuccinate synthase
267682at2	Complete	tig00000001	2575237	2573798	-	276.1	285	https://v10-1.orthodb.org/?query=267682at2	Amidophosphoribosyltransferase
353391at2	Complete	tig00000001	632976	634247	+	414.6	314	https://v10-1.orthodb.org/?query=353391at2	Serine--tRNA ligase
384865at2	Complete	tig00000001	2111808	2112983	+	188.6	210	https://v10-1.orthodb.org/?query=384865at2	Transcription termination/antitermination protein NusA
402899at2	Complete	tig00000001	981924	983180	+	320.0	284	https://v10-1.orthodb.org/?query=402899at2	Tyrosine--tRNA ligase
430176at2	Complete	tig00000001	1743824	1745230	+	567.5	360	https://v10-1.orthodb.org/?query=430176at2	ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain
462069at2	Complete	tig00000001	1723609	1724799	+	168.3	207	https://v10-1.orthodb.org/?query=462069at2	Phosphoglycerate kinase
469058at2	Complete	tig00000001	2499926	2498883	-	426.8	295	https://v10-1.orthodb.org/?query=469058at2	Phenylalanine--tRNA ligase alpha subunit
504464at2	Duplicated	tig00000001	689026	687461	-	303.9	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
504464at2	Duplicated	tig00000002	123289	124902	+	301.6	233	https://v10-1.orthodb.org/?query=504464at2	GMP synthase
505485at2	Complete	tig00000001	475050	473680	-	219.3	233	https://v10-1.orthodb.org/?query=505485at2	Ribosomal protein S5 domain 2-type fold
533698at2	Complete	tig00000001	1725774	1727072	+	387.2	285	https://v10-1.orthodb.org/?query=533698at2	Enolase
662686at2	Complete	tig00000001	723072	724010	+	259.6	223	https://v10-1.orthodb.org/?query=662686at2	DNA-directed RNA polymerase subunit alpha
665824at2	Complete	tig00000001	2104888	2106597	+	796.7	544	https://v10-1.orthodb.org/?query=665824at2	Proline--tRNA ligase
761140at2	Complete	tig00000001	1529223	1531232	+	219.4	286	https://v10-1.orthodb.org/?query=761140at2	Methionine--tRNA ligase
776861at2	Complete	tig00000001	2673911	2673231	-	259.9	204	https://v10-1.orthodb.org/?query=776861at2	Cytidylate kinase
837522at2	Complete	tig00000001	1741329	1742885	+	666.5	407	https://v10-1.orthodb.org/?query=837522at2	ATP synthase subunit alpha
841869at2	Complete	tig00000001	1258682	1259617	+	164.1	213	https://v10-1.orthodb.org/?query=841869at2	UDP-N-acetylenolpyruvoylglucosamine reductase
874197at2	Complete	tig00000001	796894	797895	+	414.8	273	https://v10-1.orthodb.org/?query=874197at2	Holliday junction ATP-dependent DNA helicase RuvB
923547at2	Complete	tig00000001	2573775	2572723	-	438.9	314	https://v10-1.orthodb.org/?query=923547at2	Phosphoribosylformylglycinamidine cyclo-ligase
932854at2	Complete	tig00000001	2570600	2569326	-	596.4	418	https://v10-1.orthodb.org/?query=932854at2	Phosphoribosylamine--glycine ligase
932993at2	Complete	tig00000001	2169513	2170802	+	91.5	210	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	tig00000001	712270	713103	+	233.3	172	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	tig00000001	2201551	2202717	+	254.2	252	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	tig00000001	1814929	1815828	+	236.1	218	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	tig00000001	1374514	1375755	+	253.5	227	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	tig00000001	392178	390985	-	441.9	308	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	tig00000001	1690675	1692453	+	277.7	318	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	tig00000001	2100305	2101027	+	161.3	154	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	tig00000001	2572151	2570616	-	599.9	437	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	tig00000001	1140798	1141919	+	467.9	330	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	tig00000001	1624164	1625081	+	153.2	182	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	tig00000001	1360697	1362379	+	299.7	382	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	tig00000001	457901	456852	-	391.2	261	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	tig00000001	1369300	1370661	+	316.1	357	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	tig00000001	713808	714464	+	206.2	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	tig00000001	1368324	1369286	+	254.8	247	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	tig00000001	2119806	2120729	+	118.1	122	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	tig00000001	783075	782464	-	196.3	163	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	tig00000001	2086838	2087854	+	244.9	235	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	tig00000001	1724903	1725658	+	326.0	249	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	tig00000001	710661	711290	+	184.0	162	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	tig00000001	1364740	1365699	+	139.3	154	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Fragmented	tig00000001	1270337	1269786	-	175.0	154	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
