"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ftype","length_bp","gene","EC_number","COG","product"
"PHJJKLOP_00027",13463.8747550721,-1.95464354195358,0.0587280825217546,-33.282945024291,6.81567902279443e-243,9.27551954283933e-242,"CDS",570,"","","","hypothetical protein"
"PHJJKLOP_00029",46292.9696338095,-1.35944919720744,0.0665881156487021,-20.4157931781621,1.21050532528673e-92,6.95633962362469e-92,"CDS",1785,"pyk","2.7.1.40","COG0469","Pyruvate kinase"
"PHJJKLOP_00030",40445.9102766672,-1.40205777731144,0.0585732608654277,-23.9368229904884,1.2674755980272e-126,9.21073286527535e-126,"CDS",963,"pfkA","2.7.1.11","","ATP-dependent 6-phosphofructokinase"
"PHJJKLOP_00040",10392.6715062694,-1.82589008459869,0.0573098503759693,-31.8599694925098,9.57852156790632e-223,1.18016845984821e-221,"CDS",1941,"thrS","6.1.1.3","COG0441","Threonine--tRNA ligase"
"PHJJKLOP_00042",965.596975641329,-1.12635526867917,0.0810623526800401,-13.894924480233,6.79951898889036e-44,2.37546789413509e-43,"CDS",1824,"ziaA","7.2.2.12","","Zinc-transporting ATPase"
"PHJJKLOP_00046",8448.95911739505,-2.35797368448399,0.0560269420374477,-42.0864248294679,0,0,"CDS",720,"yeeN","","COG0217","putative transcriptional regulatory protein YeeN"
"PHJJKLOP_00047",4438.58512899922,-3.08030118704504,0.0648797561990232,-47.4770770962208,0,0,"CDS",1152,"tmcAL","6.3.4.-","COG1323","tRNA(Met) cytidine acetate ligase"
"PHJJKLOP_00048",7788.14774811685,-2.4905726609334,0.0553881812985443,-44.9657779429355,0,0,"CDS",741,"COQ5_1","2.1.1.163","","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial"
"PHJJKLOP_00049",4434.23285143394,-2.56673543900884,0.0613510753879099,-41.8368451209684,0,0,"CDS",261,"rsfS","","COG0799","Ribosomal silencing factor RsfS"
"PHJJKLOP_00050",6684.77450952227,-2.40807944891524,0.0581932733306519,-41.3807182701793,0,0,"CDS",594,"","","","hypothetical protein"
"PHJJKLOP_00051",6667.42736591847,-2.6394574532047,0.0771126805638308,-34.2285786709212,9.08719226906821e-257,1.31435041804784e-255,"CDS",651,"nadD","2.7.7.18","COG1057","Nicotinate-nucleotide adenylyltransferase"
"PHJJKLOP_00052",1325.8055700458,-2.76392946618827,0.0828023821234086,-33.3798303298679,2.6901248031443e-244,3.69460259661195e-243,"CDS",312,"","","COG1534","RNA-binding protein"
"PHJJKLOP_00053",9855.18417650011,-2.96354165029361,0.0572080762805972,-51.8028544738661,0,0,"CDS",1110,"yqeH","","COG1161","putative protein YqeH"
"PHJJKLOP_00054",6686.72303833308,-3.69134618125933,0.0644626849622064,-57.2633017601348,0,0,"CDS",528,"","","","hypothetical protein"
"PHJJKLOP_00055",14033.2933767791,-4.8639910679037,0.0741230869705116,-65.6204600577246,0,0,"CDS",786,"accA","2.1.3.15","COG0825","Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha"
"PHJJKLOP_00056",13841.7519679561,-4.85976040910604,0.0713823471055548,-68.0807035095076,0,0,"CDS",870,"accD","2.1.3.15","COG0777","Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta"
"PHJJKLOP_00057",27142.9297982999,-5.2092020059021,0.0617961387039676,-84.2965614867396,0,0,"CDS",1380,"cfiB","6.4.1.7","COG0439","2-oxoglutarate carboxylase small subunit"
"PHJJKLOP_00058",8023.29603253841,-5.34946030030733,0.0951124031478042,-56.2435615467974,0,0,"CDS",420,"fabZ_1","4.2.1.59","COG0764","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ"
"PHJJKLOP_00059",10112.657646475,-5.22584998248598,0.0889485131719406,-58.7514034369999,0,0,"CDS",477,"accB","","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase"
"PHJJKLOP_00060",19407.88011836,-5.24294661567113,0.0760878000725055,-68.9065344335758,0,0,"CDS",1236,"fabF","2.3.1.179","COG0304","3-oxoacyl-[acyl-carrier-protein] synthase 2"
"PHJJKLOP_00061",17933.9204879944,-5.4878081452411,0.0693212044736784,-79.1649277722064,0,0,"CDS",738,"fabG_1","1.1.1.100","","3-oxoacyl-[acyl-carrier-protein] reductase FabG"
"PHJJKLOP_00062",16617.8886524205,-5.63715805815177,0.0749125300035909,-75.2498688521341,0,0,"CDS",918,"fabD","2.3.1.39","COG0331","Malonyl CoA-acyl carrier protein transacylase"
"PHJJKLOP_00063",11775.9997263383,-5.6994133405905,0.0859228668127772,-66.331740920718,0,0,"CDS",225,"acpA","","COG0236","Acyl carrier protein"
"PHJJKLOP_00064",18297.231373406,-4.47184086817478,0.0699320949465526,-63.9454726988017,0,0,"CDS",963,"fabH","2.3.1.180","COG0332","3-oxoacyl-[acyl-carrier-protein] synthase 3"
"PHJJKLOP_00065",10011.5567266807,-4.46459735420212,0.0689425308884498,-64.7582456963454,0,0,"CDS",441,"","","","hypothetical protein"
"PHJJKLOP_00072",16383.6246853212,-1.07876570851739,0.0722076676450515,-14.9397666992962,1.81609932504156e-50,6.89150998627937e-50,"CDS",267,"ptsH","","COG1925","Phosphocarrier protein HPr"
"PHJJKLOP_00076",5001.31887928758,-1.83634442202394,0.0590372925187724,-31.1048210999858,2.07281332887498e-212,2.42421996353582e-211,"CDS",1581,"prfC","","","Peptide chain release factor 3"
"PHJJKLOP_00089",648.180647945904,-1.24257964404058,0.0900902568980531,-13.7926085108925,2.8236228842534e-43,9.80733980911216e-43,"CDS",471,"","","","hypothetical protein"
"PHJJKLOP_00098",1991.72839858658,-1.18132530796084,0.0744223822003544,-15.8732530864245,9.70762274603594e-57,4.01445062177232e-56,"CDS",633,"vraR","","","Response regulator protein VraR"
"PHJJKLOP_00099",2964.0124494395,-1.34809520213627,0.063280110567245,-21.3036164136234,1.05086492373134e-100,6.46055355575286e-100,"CDS",1068,"liaS","2.7.13.3","COG4585","Sensor histidine kinase LiaS"
"PHJJKLOP_00100",3099.47939447989,-1.66488126736676,0.0695053731370036,-23.9532742898174,8.54204522298781e-127,6.2530277255808e-126,"CDS",732,"","","","hypothetical protein"
"PHJJKLOP_00101",11341.7526803191,-2.25661783854533,0.0545520531667935,-41.3663227604961,0,0,"CDS",480,"greA","","COG0782","Transcription elongation factor GreA"
"PHJJKLOP_00102",6736.1994395627,-1.497404307306,0.055076884874016,-27.1875272309099,9.1216771994931e-163,8.07997086842672e-162,"CDS",1176,"mltG","4.2.2.-","","Endolytic murein transglycosylase"
"PHJJKLOP_00103",507.905887810292,-2.45622709912824,0.116340798331433,-21.1123452336205,6.12563982151263e-99,3.72011473136081e-98,"CDS",1161,"pbpX_1","","COG1680","Putative penicillin-binding protein PbpX"
"PHJJKLOP_00106",5116.25155251183,-1.16737014017509,0.0631085113323796,-18.4978240736307,2.14979696117248e-76,1.08724528745784e-75,"CDS",1416,"","","","hypothetical protein"
"PHJJKLOP_00107",4453.36913598476,-1.12965618550544,0.0714728286285174,-15.8053935625924,2.85601138523566e-56,1.16815547642016e-55,"CDS",1149,"pglH_1","2.4.1.292","COG0438","GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase"
"PHJJKLOP_00108",3046.25829036636,-1.44181066395831,0.062977244874599,-22.8941527503983,5.31314507228774e-116,3.61535371509761e-115,"CDS",1536,"","","","hypothetical protein"
"PHJJKLOP_00109",1289.40365428184,-1.43652172787738,0.0763763349242505,-18.808466382972,6.4373242329614e-79,3.2945895305105e-78,"CDS",975,"arnC_1","2.4.2.53","","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase"
